#,Company,Website,Category,General Contact Email,Email Type,HR Person Name,HR Person Title,HR Person Direct Email,LinkedIn Profile,Priority,Notes
203,Cyfuture,cyfuture.com,Cloud / IT Infrastructure / BPO,info@cyfuture.com,contact,,,,https://cyfuture.com/careers.html,High,"Sarkhej Gujarat office; cloud hosting, data centers, tech support BPO; 9 global locations"
204,Lucent Innovation,lucentinnovation.com,AI / Data Engineering / Commerce,info@lucentinnovation.com,contact,Nitesh Kasma,CEO & Co-Founder,nitesh@lucentinnovation.com,https://www.linkedin.com/in/niteshkasma/,High,GIFT-SEZ Gandhinagar + USA HQ; 142 employees; Databricks Partner; CEO: Nitesh Kasma
205,Electroware Infotech,electroware.net,FinTech / Tally / ERP,info@electroware.net,contact,,,tarangpatel@electroware.net,,High,Sector 11 Gandhinagar; since 1999; 25+ years; FinTech + Tally solutions
206,RiYank Technologies,riyanktechnologies.com,Web / Mobile / Digital,hello@riyanktechnologies.com,contact,,,,,High,D-107 Swagat Rainforest-3 Sargasan Gandhinagar
207,Drize Technologies,drizetech.com,Web / Cloud / Digital Marketing,info@drizetech.com,contact,,,,,Medium,Adalaj Gandhinagar; AWS/GCloud/Azure; also Thaltej office
208,Sai Branding,saibranding.com,Digital Marketing / Branding / Web,hello@saibranding.com,contact,Nishant Darji,Founder & CEO,hello@saibranding.com,,High,509-510 Synergy Space Sargasan Gandhinagar; since 2012; Founder: Nishant Darji
209,Realcode Infotech,realcodeinfotech.com,Web / Mobile / Bulk SMS,—,contact,Somnath Khandare,Managing Director,—,,Medium,Sector 3 Gandhinagar; since 2016; MD: Somnath Khandare
210,SerpentCS,serpentcs.com,Odoo ERP / CMMI3 / ISO,contact@serpentcs.com,contact,Husen Daudi & Jay Vora,Co-Founders / MDs,contact@serpentcs.com,https://www.linkedin.com/company/serpent-consulting-services,High,301 Siddhraj Zavod Sargasan Gandhinagar; Odoo top contributor; 50+ Odoo apps; since 2011
211,Caret IT Solutions,caretit.com,Odoo ERP / Business Automation,info@caretit.com,contact,,,,https://in.linkedin.com/company/caret-it-solutions,High,706-709 Pratik Complex Kudasan Gandhinagar; Odoo GOLD Partner; India + Canada
212,Prabhu Studio,prabhustudio.com,Animation / VFX / Web / Mobile,prabhu@prabhustudio.com,contact,Akash Pandya,Founder,prabhu@prabhustudio.com,,High,Adalaj Infocity Gandhinagar; since 2006; Animation/VFX/Web/Mobile; Founder: Akash Pandya
213,Honeycomb Softwares,honeycombsoftwares.com,Web / Mobile / Cloud,contact@honeycombsoftwares.com,contact,Janak Darji,Founder & MD,janak@honeycombsoftwares.com,https://in.linkedin.com/in/janakndarji,High,A-404 Landmark Kudasan Gandhinagar; 30+ team; since 2012; Founder & CEO: Janak Darji; ZoomInfo confirmed j***@honeycombsoftwares.com
214,Electroweb Solution,electroweb.in,Web Dev / Mobile / SEO,info@electroweb.in,contact,,,,,High,208 Shalin Centrum Sector-11 Gandhinagar; since 2012; leading IT company; Ph: +91 99040 35282
215,Sanskar Technolab,sanskartechnolab.com,ERPNext / ERP / IT,career@sanskartechnolab.com,careers,Anand Thakker,Founder & CEO,career@sanskartechnolab.com,,High,DIRECT CAREER EMAIL ✅ — Frappe/ERPNext Partner; 64+ devs; 10+ years; also info@; HR Ph: +91 93136 55703
216,Tiny Script Soft Tech,tinyscript.in,Web / Multimedia / IT,tinyscriptsofttech@gmail.com,contact,Akash Patel,Director,tinyscriptsofttech@gmail.com,https://in.linkedin.com/company/tiny-script-soft-tech-pvt-ltd,Medium,GIDC Vatva Ahmedabad; incorporated Sept 2022; hiring in Gandhinagar area
217,Rumbum Software,rumbum.co,AI / Mobile / Web / Animation,contact@rumbum.co,contact,Romit Mevada,MD & CEO,romit.mewada@gmail.com,https://in.linkedin.com/company/rumbum-software,High,B501 Shree Rang Aroma GIFT City Road Randesan Gandhinagar; since 2018; AI/Swift/Kotlin/Flutter/PHP; CEO: Romit Mevada
218,Gurukrupa Infotech,gurukrupainfotech.com,Web / App Dev / Digital Marketing,nikul@gurukrupainfotech.com,contact,Nikul Suthar & Yuvrajsinh Vaghela,Co-Founders & CEOs,nikul@gurukrupainfotech.com,https://in.linkedin.com/in/nikul-suthar-7a24167b,Medium,211 Sharan Business Sector-26 Gandhinagar; 10-50 team; ZoomInfo: ****@gurukrupainfotech.com; Ph: 6351121958
219,Acespritech Solutions,acespritech.com,Odoo ERP / Mobile / Web,sales@acespritech.com,contact,Navrang Oza,Founder & MD,navrang@acespritech.com,https://in.linkedin.com/company/acespritech,High,C-511 The Landmark Kudasan Gandhinagar; 13+ yrs Odoo expertise; ZoomInfo: n***@acespritech.com; Ph: +91 79902 03338
220,Kroop AI,kroop.ai,Deepfake Detection / AI Video,kroopai@gmail.com,contact,Dr. Jyoti Joshi Dhall,CEO & Founder,kroopai@gmail.com,,High,"FUNDED AI STARTUP ✅ — Gandhinagar; deepfake detection + text-to-video; Co-founders: Sarthak Gupta, Milan Chaudhari; inc42 featured"
221,Sypram Technology,sypramtechnology.com,Software Products / ACH Systems,info@sypramtechnology.com,contact,,,,,Medium,Sector 23 Gandhinagar; since 2005; also GIDC Electronic Park SEZ; COO: Dr. Manish Dholakia
222,SuperKalam,superkalam.com,AI EdTech / Test Prep,join@superkalam.com,careers,Vimal Singh Rathore,Founder & CEO,vimal@kalam.in,https://www.linkedin.com/in/vimal-singh-rathore/,High,YC W23 ✅ — $2M seed; AI-powered mentor for test prep; Bengaluru; also Aseem Gupta co-founder; HIRING INTERNS
223,ClearFeed,clearfeed.ai,AI Helpdesk / Slack / Teams,hello@clearfeed.ai,contact,Joydeep Sen Sarma,Co-Founder & CEO,joydeep@clearfeed.ai,,High,"$2.7M funded ✅ — Bellandur Bangalore; AI helpdesk for Slack/Teams; Co-founders: Ankit Jain, Lalit Indoria; ZoomInfo: j******@clearfeed.ai"
224,OnFinance AI,onfinance.ai,AI / Banking / BFSI Compliance,team@onfinance.in,contact,Anuj Srivastava,Co-Founder & CEO,team@onfinance.in,https://in.linkedin.com/in/anujsrivastava02,High,SEED FUNDED ✅ — Bengaluru; LLM (NeoGPT) for banking/insurance; Co-founder: Priyesh Srivastava; founded 2022
225,Kramah Software,kramah.com,EdTech / University ERP / AI,support@kramah.com,contact,Dr. Rajeev C Raghunath,CEO & MD,rajeev.raghunath@kramah.com,https://in.linkedin.com/in/rajeevraghunath/,High,✅ DIRECT CEO EMAIL — Kumaraswamy Layout Bangalore; 85+ universities; OFFERS AI INTERNSHIPS; Ph: +91 988-005-0979
226,Infilect,infilect.com,Computer Vision / Retail AI,careers@infilect.com,careers,Anand Prabhu Subramanian,Co-Founder & CEO,careers@infilect.com,,High,Mela Ventures funded ✅ — Koramangala Bangalore; image recognition retail analytics; OFFERS 6-MONTH INTERNSHIPS; Co-founder: Vijay Gabale
227,WizCommerce,wizcommerce.com,B2B Commerce / AI / CRM,hello@wizcommerce.com,contact,Divyaanshu Makkar,Co-Founder & CEO,hello@wizcommerce.com,https://www.linkedin.com/in/divyaanshumakkar/,High,SERIES A ✅ — Bengaluru; B2B commerce platform for wholesale; Co-founder: Vikas Garg; founded 2020
228,Klaar,klaarhq.com,HR Tech / Performance / SaaS,hello@klaarhq.com,contact,Sharthok Chakraborty,Co-Founder & CEO,hello@klaarhq.com,https://www.linkedin.com/in/sharthok-chakraborty,High,$6.7M Series A ✅ — WeWork Embassy TechVillage Bangalore; Agentic Performance Mgmt; Co-founder: Atri Roy; Ph: +91 983 674 0283
229,Srishti Software,srishtisoft.com,Healthcare IT / Product,sales@srishtisoft.com,contact,Ajay Shankar Sharma,Co-Founder & CEO,sales@srishtisoft.com,,High,HSR Layout Bangalore; healthcare product PARAS; since 1997; Ph: +91 9945239357
230,Techasoft,techasoft.com,Web / Mobile / Digital Marketing,info@techasoft.com,contact,,,,,High,HSR Layout Bangalore; 105 employees; $10-50Cr revenue; app dev + digital marketing; since 2016; Ph: +91 88847 39988
231,GoodWorkLabs,goodworklabs.com,AI / ML / Mobile / Product Dev,contact@goodworklabs.com,contact,Vishwas Mudagal,Co-Founder & MD,contact@goodworklabs.com,https://in.linkedin.com/in/vishwasmudagal,High,Whitefield Bangalore; 200+ employees; AI/ML lab + outsourced product dev; CEO Sonia Sharma; angel investors; Ph: +91 80-43364621
232,Tensorfuse,tensorfuse.io,AI Infra / Serverless GPU / MLOps,founders@tensorfuse.io,contact,Agam Jain,Co-Founder & CPO,agam@tensorfuse.io,https://www.linkedin.com/in/agam-jain-5a8b95151/,High,YC W24 ✅ — Bengaluru; serverless GPU on your own cloud; Co-founder: Samagra Sharma (CEO); samagra@tensorfuse.io
233,GoSats,gosats.io,Fintech / Bitcoin Rewards,roshan@gosats.io,contact,Mohammed Roshan,Co-Founder & CEO,roshan@gosats.io,https://in.linkedin.com/in/roshanaslam,High,YC W22 ✅ — Bengaluru; Bitcoin stacking/rewards app; 23 employees; Co-founder: Roshni Aslam
234,Emergent,emergent.sh,AI App Builder / No-Code,team@emergent.sh,contact,Mukund Jha,Co-Founder & CEO,team@emergent.sh,https://www.linkedin.com/in/mukundjha/,High,YC S24 ✅ — $100M Series B (Lightspeed + SoftBank); 700K+ users; $10M ARR in 2 months; ex-Dunzo CTO; twin brothers; CTO Madhav Jha (PhD CS)
235,Flagright,flagright.com,AML Compliance / Fintech / AI,gdpr@flagright.com,contact,Madhu G Nadig,Co-Founder & CTO,gdpr@flagright.com,https://www.linkedin.com/in/madhugnadig/,High,YC W22 ✅ — $4.3M seed; AI-native AML compliance; Bangalore office; CEO Baran Ozkan; offices in NY/SF/Berlin/Singapore/Bangalore
236,Rivia.AI,rivia.ai,Interactive Product Demos / SaaS,samay@rivia.ai,contact,Samay Jain,Co-Founder & CEO,samay@rivia.ai,https://www.linkedin.com/in/samayjain/,High,YC S21 ✅ — Bengaluru; 5 employees; create interactive product demos in 10 min; Co-founder: Prabal Agarwal (CTO); HIRING 1 engineering role
237,Infinity,infinityapp.in,Cross-Border Fintech / Banking,support@infinityapp.in,contact,Sourav Choraria,Co-Founder & CEO,sourav@infinityapp.in,https://www.linkedin.com/in/souravchoraria/,High,YC W24 ✅ — Bengaluru; $1.9M pre-seed; cross-border payments 70% cheaper; 15 employees; Co-founder: Sidharth Choraria; Ph: +91 95354 82864
238,Vahan.ai,vahan.ai,AI Recruiting / WhatsApp / HR Tech,madhav@vahan.ai,contact,Madhav Krishna,Founder & CEO,madhav@vahan.ai,https://in.linkedin.com/in/madhavkrishna,High,YC ✅ — Bengaluru; $23.7M funded (Khosla + Founders Fund); AI recruiter for blue-collar; clients: Zomato/Swiggy/Uber; Columbia CS Masters; WEF Tech Pioneer
239,smallest.ai,smallest.ai,Voice AI / TTS / STT / AI Agents,info@smallest.ai,contact,Sudarshan Kamath,Co-Founder & CEO,info@smallest.ai,https://www.linkedin.com/in/sudarshankamath/,High,Indiranagar Bangalore; voice AI models; Co-founder: Akshat Mandloi; ex-Bosch AI + Vakilsearch PM; viral Bangalore hiring post; Ph: +91 9637842074
240,Strac,strac.io,Data Security / DLP / DSPM / AI,aatish@strac.io,contact,Aatish Mandelecha,Founder & CEO,aatish@strac.io,https://www.linkedin.com/in/aatishmandelecha/,High,YC W22 ✅ — Bengaluru office; DLP for SaaS/Cloud/GenAI; ex-Amazon 11 yrs payments infra; ACTIVELY HIRING in Bengaluru
241,Kula,kula.ai,AI Recruitment / ATS / HR Tech,hello@kula.ai,contact,Achuthanand Ravi,Co-Founder & CEO,hello@kula.ai,https://www.linkedin.com/in/achuthanand-ravi/,High,"Bengaluru + Singapore; $15M seed; AI-native ATS; ex-founding recruiter Freshworks + Uber + Stripe; Co-founders: Sathappan M, Suman Kumar Dey"
242,Sarvam AI,sarvam.ai,Sovereign AI / LLM / NLP,careers@sarvam.ai,careers,Pratyush Kumar,Co-Founder & CEO,careers@sarvam.ai,https://www.linkedin.com/in/pratyush-kumar-8844a8a/,High,Bengaluru; India's sovereign AI; govt contract IndiaAI Mission; Sarvam-30B/105B LLMs; Co-founder: Vivek Raghavan; ex-Google Brain; IIT Bombay PhD; 29 open roles
243,Locale.ai,locale.ai,Geospatial Analytics / AI / SaaS,aditi@locale.ai,contact,Aditi Sinha,Co-Founder & CEO,aditi@locale.ai,https://www.linkedin.com/in/aditisinha1002/,High,Bengaluru; Forbes 30U30 ✅; $5.5M funded; $1.7M ARR; location analytics for supply chain; 11-50 employees; Co-founder: Rishabh Jain
244,FamApp,famapp.in,Fintech / UPI / Teen Banking,careers@famapp.in,careers,Sambhav Jain,Co-Founder & CEO,sambhav@fampay.in,https://in.linkedin.com/in/sambhavanandjain,High,YC S19 ✅ — HSR Layout Bangalore; fintech for teens; Co-founder: Kush Taneja; IIT Roorkee; Forbes 30U30; HIRING creative + growth teams
245,Rocketium,rocketium.com,AI Creative Ops / Marketing SaaS,satej@rocketium.com,contact,Satej Sirur,Co-Founder & CEO,satej@rocketium.com,https://www.linkedin.com/in/satejsirur/,High,Bangalore HQ; 78 employees; AI creative automation for enterprises; Blume Ventures funded; RETHINK Retail Top AI Leader 2024
246,Rigi,rigi.club,Creator Economy / Monetization / SaaS,swapnil@rigi.club,contact,Swapnil Saurav,Co-Founder & CEO,swapnil@rigi.club,https://www.linkedin.com/in/linkswapnil/,High,HSR Layout Bangalore; $25M funded (Elevation Capital); 114 employees; creator community monetization; Co-founder: Ananya Singhal; prev HalaPlay (acquired)
247,SigNoz,signoz.io,Open Source Observability / DevTools,pranay@signoz.io,contact,Pranay Prateek,Co-Founder & CEO,pranay@signoz.io,https://www.linkedin.com/in/pranay01/,High,YC W21 ✅ — Bengaluru; open source observability (OpenTelemetry); 38 employees; hiring@signoz.io; CTO Ankit Nayan
248,Clarisights,clarisights.com,Marketing Analytics / AI / SaaS,arun@clarisights.com,contact,Arun Srinivasan,Co-Founder & CEO,arun@clarisights.com,https://www.linkedin.com/in/arun-srinivasan-clarisights/,High,✅ DIRECT CEO EMAIL — Indiranagar + Domlur Bangalore; marketing insights for Uber/HelloFresh/Delivery Hero; Co-founder: Ankur Gupta
249,Dukaan,mydukaan.io,E-Commerce Platform / AI / SaaS,support@mydukaan.io,contact,Suumit Shah,Co-Founder & CEO,suumit@mydukaan.io,https://in.linkedin.com/in/suumitshah,High,Bengaluru; DIY e-commerce platform; famous for AI chatbot replacing support staff; Co-founder: Subhash Choudhary (CTO)
250,Scribble Data,scribbledata.io,MLOps / Feature Store / AI,venkata@scribbledata.io,contact,Dr. Venkata Pingali,Co-Founder & CEO,venkata@scribbledata.io,https://in.linkedin.com/in/pingali,High,✅ DIRECT CEO EMAIL — Bangalore + Toronto; MLOps feature store 'Enrich'; Blume Ventures; IIT Bombay; 20 employees; HIRING
251,Sprinto,sprinto.com,Compliance Automation / Security SaaS,sales@sprinto.com,contact,Girish Redekar,Co-Founder & CEO,girish@sprinto.com,https://www.linkedin.com/in/girishredekar/,High,Bannerghatta Road Bangalore; $32.2M Series B; autonomous compliance engine; Co-founder: Raghuveer Kancherla; prev RecruiterBox (acquired)
252,Krazimo,krazimo.ai,AI Engineering / Agents / Custom Dev,akhil@krazimo.ai,contact,Akhil Verghese,CEO,akhil@krazimo.ai,https://www.linkedin.com/in/akhilverghese/,High,✅ DIRECT CEO EMAIL — Bellandur/HSR Bangalore; ex-Google engineers; CTO Mridul Nagpal (ex-Google); AI agents + automation; 10-49 employees
253,Reckonsys,reckonsys.com,AI / Chatbot / Custom Software,info@reckonsys.com,contact,Sathish Visanagiri,Founder & CEO,sathish@reckonsys.com,https://www.linkedin.com/in/sathish-visanagiri/,High,Sarjapur Road Bangalore; 50-249 employees; AI chatbots + document summarization + semantic search; Ph: +91 80613 56100
254,Pace Wisdom,pacewisdom.com,AI Product Dev / Cloud / IoT,contact@pacewisdom.com,contact,Bharath Jatangi,Co-Founder,contact@pacewisdom.com,https://in.linkedin.com/company/pace-wisdom-solutions,High,Rajajinagar Bangalore; 50-249 employees; 150+ solutions across 10 countries; AI-first product engineering; Co-founder: Mohan Thimmadasaiah
255,Evnek Technologies,evnek.com,Generative AI / LLM / Cloud / DevOps,info@evnek.com,contact,Ashis Kumar Sahoo,Director,info@evnek.com,https://in.linkedin.com/company/evnek,High,Whitefield (Akshay Tech Park) Bangalore; 100-200 employees; GenAI LLM solutions; deep learning + cloud; founded 2022
256,CloudSEK,cloudsek.com,Cybersecurity / AI Threat Intel,careers@cloudsek.com,careers,Rahul Sasi,Co-Founder & CEO,rahul.sasi@cloudsek.com,https://www.linkedin.com/in/fb1h2s/,High,✅ DIRECT CEO EMAIL — Cambridge Road Bangalore; $19M Series B1; predictive cybersecurity for 250+ enterprises; 32 OPEN POSITIONS; ethical hacker turned CEO
257,Plum,plumhq.com,InsurTech / Employee Health / SaaS,abhishek@plumhq.com,contact,Abhishek Poddar,Co-Founder & CEO,abhishek@plumhq.com,https://in.linkedin.com/in/abhishek24,High,✅ DIRECT CEO EMAIL — Bengaluru; $36M Series B; employee health benefits platform; Co-founder: Saurabh Arora; HIRING across teams
258,Nova Benefits,novabenefits.com,InsurTech / Employee Benefits / SaaS,admin@getnovaapp.com,contact,Saransh Garg,Co-Founder & CEO,admin@getnovaapp.com,https://www.linkedin.com/in/saransh-garg/,High,Bangalore; employee wellness & insurance SaaS; Co-founder: Yash Gupta; Ph: +91 91673 39156
259,Myelin Foundry,myelinfoundry.ai,AI Video / Edge AI / Deep Tech,social@myelinfoundry.com,contact,Gopichand Katragadda,Founder & CEO,social@myelinfoundry.com,https://in.linkedin.com/in/gkatragadda,High,"Whitefield Bangalore; AI on video/voice/sensor data for edge devices; ex-Group CTO Tata Sons; ex-MD GE JFWTC; Board: Bosch Ltd, Asian Paints, ICICI Securities; Ph: +91 80 6190 4242"
260,SpotDraft,spotdraft.com,AI Contract Lifecycle / LegalTech / SaaS,shashank@spotdraft.com,contact,Shashank Bijapur,Co-Founder & CEO,shashank@spotdraft.com,https://in.linkedin.com/in/shashankbijapur,High,"✅ DIRECT CEO EMAIL — HSR Layout Bangalore; $113M+ cumulative funding; $54M Series B (Vertex Growth + Prosus + Premji Invest); 234 employees; AI contract automation; Co-founders: Madhav Bhagat, Rohith Salim"
261,Murf AI,murf.ai,AI Voice / TTS / Synthetic Speech,ankur@murf.ai,contact,Ankur Edkie,Co-Founder & CEO,ankur@murf.ai,https://www.linkedin.com/in/ankuredkie/,High,"✅ DIRECT CEO EMAIL — HSR Layout Bangalore; $11.5M Series A (Matrix/Z47); 6M+ users across 195 countries; IIT-KGP alumni; ex-Goldman Sachs; Co-founders: Sneha Roy (COO), Divyanshu Pandey"
262,Presentations.AI,presentations.ai,AI Presentation / Productivity / SaaS,sumanth@presentations.ai,contact,Sumanth Raghavendra,Co-Founder & CEO,sumanth@presentations.ai,https://in.linkedin.com/in/raghavendrasumanth,High,"✅ DIRECT CEO EMAIL — Jayanagar Bangalore; 10M+ users; Accel-backed seed (Jan 2025); ChatGPT for presentations; 30 team members; Co-founders: Ravi Kasthuri, Saravanan Govindaraj"
263,SuperKalam,superkalam.com,AI EdTech / Test Prep / LLM,vimal@kalam.in,contact,Vimal Singh Rathore,CEO,vimal@kalam.in,https://in.linkedin.com/in/vimal-rathore,High,"✅ DIRECT CEO EMAIL — Bengaluru; YC W23 ✅; $2M seed (YC + FundersClub + GoodWater); AI super-mentor for test prep; 20 employees; 11 OPEN ROLES; Co-founders: Aseem Gupta, Lakshay Nagpal; hiring: join@superkalam.com"
264,Richpanel,richpanel.com,AI Customer Support / CX / SaaS,amit@richpanel.com,contact,Amit RG,CEO & Founder,amit@richpanel.com,https://www.linkedin.com/in/amit-rg,High,"Bengaluru; YC ✅ + Sequoia-backed; 2000+ brands (Ridge, Jones Road Beauty); AI agents for customer support; HIRING ML Engineer + Content roles in Bangalore"
265,Even Healthcare,even.in,HealthTech / Managed Care / AI,mayank@even.in,contact,Mayank Banerjee,Co-Founder & CEO,mayank@even.in,https://in.linkedin.com/in/mayank-banerjee-b081507b,High,"✅ DIRECT CEO EMAIL — Indiranagar Bangalore; $20.8M funded ($30M Series A Khosla Ventures); subscription healthcare + own clinics/hospitals; 101-150 employees; Co-founders: Matilde Giglio, Alessandro Ialongo; Ph: +91 8047495555; also careers@even.in"
266,Factors.ai,factors.ai,B2B Marketing AI / Account Intelligence / SaaS,srikrishna@factors.ai,contact,Srikrishna Swaminathan,Co-Founder & CEO,srikrishna@factors.ai,https://www.linkedin.com/in/srifactorsai/,High,"✅ DIRECT CEO EMAIL — BEML Layout RR Nagar Bangalore; Elevation Capital backed; ex-InMobi VP ($100M biz unit); IIM Calcutta MBA; Co-founders: Praveen Das (CPO, praveen@factors.ai), Aravind Murthy"
267,Bolna AI,bolna.ai,Voice AI / Multilingual Agents / NLP,maitreya@bolna.ai,contact,Maitreya Wagh,Co-Founder & CEO,maitreya@bolna.ai,https://www.linkedin.com/in/maitreya-wagh/,High,"Bengaluru; YC F25 ✅; $6.3M seed (General Catalyst + Blume Ventures); voice AI for Indian languages; IIT Delhi + ex-Bain; Co-founder: Prateek Sachan (CTO, ex-Zomato/BrowserStack/Atlassian); open source on GitHub"
268,Fasal,fasal.co,AgriTech / AI IoT / Precision Farming,connect@wolkus.com,contact,Shailendra Tiwari,Founder & CEO,connect@wolkus.com,https://in.linkedin.com/in/shailendra-tiwari-fasal,High,"Bangalore; $19.4M funded across 8 rounds; AI-powered smart irrigation + horticulture platform; 107 employees; 12,000+ farmers across India & SE Asia; Co-founder: Ananda Prakash Verma"
269,Skit.ai,skit.ai,Voice AI / Conversational AI / Debt Collection,scale@skit.ai,careers,Sourabh Gupta,Co-Founder & CEO,scale@skit.ai,https://www.linkedin.com/in/sourabhsg/,High,Old Madras Road Bangalore + NYC HQ; Forbes 30U30 Asia ✅; voice AI for contact centers; hiring Founder Office role in Bengaluru; Co-founder: Akshay Deshraj (CTO); IIT Roorkee
270,Hiver,hiverhq.com,AI Customer Service / Email Helpdesk / SaaS,niraj@hiverhq.com,contact,Niraj Ranjan Rout,Founder & CEO,niraj@hiverhq.com,https://www.linkedin.com/in/nirajranjan/,High,"HSR Layout Bangalore; $46.2M funded (K1 Investment + Kalaari Capital); AI helpdesk built for Google Workspace; 10,000+ teams globally; IIT KGP; Co-founder: Nitesh Nandy; prev co-founded Mobicules"
271,Simplismart,simplismart.ai,AI Inference Infra / MLOps / GPU Cloud,amritanshu@simplismart.ai,contact,Amritanshu Jain,Co-Founder & CEO,amritanshu@simplismart.ai,https://www.linkedin.com/in/jainamritanshu/,High,Richmond Town Bangalore; $14M funded (Accel + Titan Capital); fastest AI inference engine; ex-Oracle ML Engineer; BITS Pilani; Co-founder: Devansh Ghatak (CTO)
272,Pixis,pixis.ai,AI Marketing Cloud / Codeless AI Infra,shubham@pixis.ai,contact,Shubham A Mishra,Co-Founder & Global CEO,shubham@pixis.ai,https://www.linkedin.com/in/shubhammishra01/,High,"Bengaluru + Burlingame; AI-powered marketing infrastructure; 201-500 employees; BITS Pilani; prev co-founded Absentia VR; Co-founders: Vrushali Prasade (CTO), Harikrishna Valiyath"
273,Whatfix,whatfix.com,Digital Adoption Platform / AI / SaaS,khadim@whatfix.com,contact,Khadim Batti,Co-Founder & CEO,khadim@whatfix.com,https://in.linkedin.com/in/khadim,High,Bengaluru HQ; 800+ employees; 700+ enterprises incl Fortune 500; digital adoption + no-code analytics; CEO based in Bengaluru; IIIT-B governing body; Co-founder: Vara Kumar; ZoomInfo confirmed k***@whatfix.com
274,ToolJet,tooljet.com,Open Source Low-Code / AI Apps / DevTools,navaneeth@tooljet.com,contact,Navaneeth Padanna Kalathil,Founder & CEO,navaneeth@tooljet.com,https://www.linkedin.com/in/navaneeth-pk/,High,✅ DIRECT CEO EMAIL — Bangalore-rooted open source low-code platform; GitHub 35K+ stars; ACTIVELY HIRING engineers + PMs + designers; Ph: +91 9400812423; also navaneethpk@outlook.com
275,Hasura (PromptQL),hasura.io,GraphQL API / AI Data Access / DevTools,tanmai@hasura.io,contact,Tanmai Gopal,Co-Founder & CEO,tanmai@hasura.io,https://www.linkedin.com/in/tanmaig/,High,Bangalore + SF offices; GraphQL engine + PromptQL AI; IIT Madras; $136M+ funded (unicorn 2022); Co-founder: Rajoshi Ghosh; HIRING via hasura.io/careers
276,Pixxel,pixxel.space,SpaceTech / Hyperspectral Satellites / AI,awais@pixxel.space,contact,Awais Ahmed,Founder & CEO,awais@pixxel.space,https://in.linkedin.com/in/awaisahmedna,High,Bengaluru; $96M funded over 11 rounds; world's highest-res hyperspectral satellite constellation (Firefly); 177 employees; BITS Pilani; Co-founder: Kshitij Khandelwal (CTO)
277,GalaxEye,galaxeye.space,SpaceTech / Multi-Sensor Imaging / SAR,contact@galaxeye.space,contact,Suyash Singh,Founder & CEO,suyash@galaxeye.space,https://in.linkedin.com/in/suyashaoc,High,"🎯 SEEKING INTERNS — Bengaluru; Drishti Mission all-weather imaging satellite; IIT Madras spin-off; co-founders: Denil Chawda, Kishan Thakkar, Pranit Mehta, Rakshit Bhatt; careers.galaxeye.space"
278,Digantara,digantara.co.in,SpaceTech / Space Surveillance / Defence,anirudh@digantara.co.in,contact,Anirudh Sharma,Co-Founder & CEO,anirudh@digantara.co.in,https://in.linkedin.com/in/anirudh-sharma-digantara,High,✅ DIRECT CEO EMAIL — Hebbal Bangalore; $50M raised Dec 2025 (space-based missile defence); world's first commercial space surveillance satellite (SCOT); HIRING engineers + design + marketing; Co-founder: Rahul Rawat
279,Bombay Play,bombayplay.com,Gaming / Casual Games / Studio,sruthi@bombayplay.com,careers,Oliver Jones,Co-Founder & CEO,sruthi@bombayplay.com,https://www.linkedin.com/in/oliverjones-games/,High,✅ DIRECT HIRING EMAIL — Indiranagar Bangalore; casual game studio; send resume to sruthi@bombayplay.com; Co-founder: Abhas Saroha
280,Mayhem Studios,mayhem-studios.com,Gaming / AAA Mobile / Battle Royale,careers@mayhem-studios.com,careers,Ojas Vipat,Founder & CEO,careers@mayhem-studios.com,https://www.linkedin.com/in/ojasvipat/,High,Bangalore; India's first AAA mobile gaming studio; backed by MPL (Mobile Premier League); built Underworld Gang Wars (UGW)
281,Ultraviolette Automotive,ultraviolette.com,EV / Electric Motorcycles / Embedded AI,contact@ultraviolette.com,contact,Narayan Subramaniam,Co-Founder & CEO,narayan@ultraviolette.com,https://in.linkedin.com/in/narayan-s,High,Domlur Bangalore; F77 electric motorcycle maker; TVS-backed; competing with KTM/BMW; embedded software + battery AI roles; Co-founder: Niraj Rajmohan (CTO)
282,River Mobility,rideriver.com,EV / Electric Scooters / Mobility,aravind@rideriver.com,contact,Aravind Mani,Co-Founder & CEO,aravind@rideriver.com,https://in.linkedin.com/in/aravindmani,High,Bengaluru; Indie electric scooter; backed by Yamaha + Maniv Mobility + TrucksVC; ZoomInfo confirmed a***@rideriver.com; Co-founder: Vipin George (CTO)
283,Simple Energy,simpleenergy.in,EV / Electric Scooters / Battery Tech,info@simpleenergy.in,contact,Suhas Rajkumar,Founder & CEO,suhas@simpleenergy.in,https://in.linkedin.com/in/suhas-rajkumar-277824150,High,Yelahanka Bangalore; Simple One scooter (240km range); raised ₹250Cr to scale production; targeting 10x sales growth; software + BMS + connected vehicle roles
284,Entropik,entropik.io,Emotion AI / Consumer Insights / SaaS,info@entropiktech.com,contact,Ranjan Kumar,Co-Founder & CEO,ranjan@entropiktech.com,https://www.linkedin.com/in/ranjan-kr/,High,"Bengaluru; Series B; global leader in Emotion AI; unified human insights platform; ZoomInfo confirmed R***@entropiktech.com; Ph: 080-4375-9863; Co-founders: Lava Kumar, Bharat Singh Shekhawat"
